site_name,page_id,area_name,snow_volume,course,address,lift_charges,business_hours,original_page_url
weather_news,1,"丸沼高原スキー場
（群馬）",70,13,"〒378-0414 群馬県利根郡片品村東小川4658-58
地図","◆1日券
大人 4900円 小人 2200円
シニア 4400円
◆セット券（リフト1日券+1200分の食事券のセット）
大人 5700円 小人 3000円
シニア 5200円
◆フレンドリーパス
大人 2500円 小人 1500円
シニア 2500円
◆10時間券
大人 8000円 小人 8000円
シニア 8000円
◆20時間券
大人 15000円 小人 15000円
シニア 15000円
◆フルシーズン券
大人 62000円 小人 25000円
シニア 62000円
◆当日5時間券
大人 4100円 小人 4100円
シニア 4100円
◆初滑り情報
初滑り料金、春シーズン料金の設定有り","平日 （〜12/31)8:15〜16:00、(1/1〜)8:15〜16:30
休日 （〜12/31)8:15〜16:00、(1/1〜)8:15〜16:30
ナイター",https://weathernews.jp/s/ski/area/gunma.html
weather_news,1,"たんばらスキーパーク
（群馬）",---,8,"〒378-0071 群馬県沼田市玉原高原
地図","◆1日券
大人 4700円 小人 3200円
シニア 3900円
◆4時間券
大人 4200円 小人 2900円
シニア 3500円
◆回数券（10回）
大人 5000円
◆1回券
大人 550円
◆シーズン券
大人 56000円 小人 30000円
シニア 51000円
◆キッズ1日券（未就学）
小人 2200円
◆第１リフト専用１日券
大人 3400円 小人 2400円
シニア 3400円
◆初滑り情報
1日券大人3700円シニア2900円子供2200円キッズ1200円再来場割引券付リフト営業時間9時〜15時30分（予定）","平日 8:30〜16:00
休日 8:00〜16:00
ナイター なし",https://weathernews.jp/s/ski/area/gunma.html
weather_news,1,"川場スキー場
（群馬）",---,10,"〒378-0101 群馬県利根郡川場村川場高原
地図","◆1日券(平日)
大人 4900円 小人 3600円
シニア 4100円
◆1日券(土日祝)
大人 5200円 小人 3900円
シニア 4400円
◆５時間券
大人 4300円 小人 3000円
シニア 3800円
◆午後券（12:00〜終了迄）
大人 4100円 小人 2800円
シニア 3600円
◆１回券
大人 500円 小人 500円
シニア 500円
◆10時間券(1時間毎に利用可。残り時間はシーズン中有効)
大人 8000円 小人 5400円
シニア 7000円
◆20時間券
大人 15600円 小人 10400円
シニア 13600円
◆初滑り情報
＜オープンから12月18日まで＞大人1日券4100円・小人(小・中学生)1日券2600円・シニア(50歳以上)1日券3700円","平日 8:30〜16:00（日没迄）
休日 8:00〜16:00（日没迄）
ナイター なし",https://weathernews.jp/s/ski/area/gunma.html
